accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status
ENCFF267XUN	ChIP-seq	human	y2015	paired-end	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0					4.85	79.9	15.25	96.35	4.85	79.9	15.25	7.58	81.52	10.52	7.96	96.35	2.6725242346437903	0.14605001576193802	1.4757844615944697	0.472964295229068	1.28844559689983	15.661953652471	32.284907917375605	0.6724032339039829	45.3249665921203	1.298	1.3715	1.4724	1.5893	4.3406	5.2697	1.7392	1.5002	1.4209	1.3307	0
ENCFF679YFV	ChIP-seq	human	y2017	paired-end	2.0	2.0	0.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0					3.22	81.57	15.21	98.01	3.22	81.57	15.21	17.0	74.65	13.68	11.67	98.01	3.36852149935827	0.205841147766998	1.59435719719724	0.638087298122206	1.79979314585446	15.164374083870099	30.8559122095609	0.7959123513805642	45.577201066889295	1.5525	1.6327	1.7411	1.8733	2.516	2.6214	1.9778	1.8191	1.7143	1.6171	0
ENCFF163PYU	ChIP-seq	human	y2016	paired-end	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					3.12	82.7	14.19	98.0	3.12	82.7	14.19	7.7	69.59	17.37	13.04	98.0	2.89997703969907	0.173668884139489	1.4728982474311298	0.5768396308954621	1.5427906172275099	15.5188370557005	30.5615765938444	0.75849910434597	46.4949128267165	1.4758	1.5623	1.6775	1.7812	2.3232	2.4111	1.8446	1.7194	1.6056	1.5075	0
ENCFF002EFP	ChIP-seq	human	y2014	paired-end	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					1.67	87.05	11.29	98.97	1.67	87.05	11.29	8.02	67.04	19.76	13.2	98.97	3.11843722723673	0.184896787899285	1.45375858919498	0.56198092707614	1.48119945968825	15.579427650271699	31.6035796666187	0.6826802541166371	45.33403943789761	1.4014	1.4929	1.584	1.7908	2.5003	2.6138	1.8868	1.6721	1.5559	1.4654	0
ENCFF471LIQ	ChIP-seq	human	y2016	paired-end	2.0	2.0	0.0	2.0	1.0	0.0	2.0	2.0	2.0	1.0	2.0	0.0					10.08	76.61	13.31	91.23	10.08	76.61	13.31	2.18	88.92	7.14	3.94	91.23	5.42257836330295	0.262675323388016	1.6118713026082798	0.696337413887099	1.7352115595164601	15.572861989574099	30.485881764565395	0.778789530833938	43.4337927523238	1.3634	1.4641	1.7281	1.8653	3.4239	3.6147	2.0128	1.7155	1.582	1.473	0
ENCFF002DOS	ChIP-seq	human	y2014	paired-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0					2.69	83.52	13.79	98.23	2.69	83.52	13.79	5.27	69.29	18.09	12.62	98.23	4.88771573439404	0.25615449958135394	1.71756305536465	0.7709976746401981	2.01477120446339	15.5962307681391	30.2945523327596	0.8537131758900529	43.6083015547676	1.5759	1.7131	1.8295	2.0496	3.4562	3.7158	2.2005	1.9089	1.7569	1.6779	0
ENCFF756MPL	ChIP-seq	human	y2015	paired-end	2.0	2.0	0.0	2.0	2.0	0.0	2.0	2.0	2.0	1.0	2.0	0.0					2.05	85.13	12.82	98.46	2.05	85.13	12.82	3.2	77.53	14.44	8.03	98.46	10.7111209343541	0.5127528206009779	1.90499286791627	1.20836121701795	2.16602508610686	16.632592292437902	27.989796106312	1.02468703761688	37.8496716376369	1.7152	1.8533	2.0578	2.5501	7.5962	8.2705	3.0258	2.2314	1.9666	1.7996	0
ENCFF035BJT	ChIP-seq	human	y2015	paired-end	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					3.73	81.42	14.84	97.95	3.73	81.42	14.84	13.77	63.55	20.76	15.69	97.95	3.90651535383215	0.217479248221385	1.59991726663564	0.6359113495778671	1.67139646010701	16.2787019378466	30.8415990655997	0.8282461439256371	44.0202331742541	1.6472	1.7333	1.8972	2.1175	2.8956	2.8571	2.0980000000000003	1.953	1.8185	1.6926	0
ENCFF625HJX	ChIP-seq	human	y2015	paired-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0					2.77	85.24	11.98	98.26	2.77	85.24	11.98	7.25	67.6	22.71	9.68	98.26	6.823991634602691	0.30842326473842896	2.10566390188932	0.8460827808854731	1.88962548603567	17.252210637455498	31.0617151094913	1.05054771017553	38.6617394747261	1.7159	1.8643	2.0319	2.3827	4.9824	5.1988	2.5808	2.1824	1.9686	1.8398	0
ENCFF280MIU	ChIP-seq	human	y2016	paired-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0					3.99	81.64	14.37	97.93	3.99	81.64	14.37	17.12	62.54	20.98	16.48	97.93	4.41620401094188	0.268589857723248	1.60627862935207	0.7066290607144591	1.76763487156245	16.9592997847235	31.292387627264	0.8982332756025309	42.0847428821159	1.6857	1.821	1.9681	2.2349	3.2763	3.5119	2.4008	2.079	1.8911	1.7864	0
ENCFF404TLY	ChIP-seq	human	y2016	paired-end	2.0	2.0	0.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					13.59	72.75	13.66	97.23	13.59	72.75	13.66	64.9	57.99	10.65	31.37	97.23	2.9420975641295	0.184569318053243	1.53403672394006	0.596440751935604	1.76143986293177	15.389969612232699	31.030274621365198	0.764745340811741	45.7964262046002	1.4786	1.5802	1.6961	1.8526	2.2122	2.2639	1.9196	1.789	1.6539	1.5319	0
ENCFF405EAB	ChIP-seq	human	y2016	paired-end	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	0.0					12.4	76.91	10.69	89.27	12.4	76.91	10.69	2.56	88.86	7.74	3.4	89.27	4.04519235954462	0.257422256952182	1.87144963324959	0.676928962649353	1.86076610084644	17.4094774124688	32.2254001491625	0.894771275746041	40.7585918493805	1.7294	1.8453	2.0385	2.311	3.3685	3.4638	2.4295	2.1283	1.9665	1.8172	0
ENCFF699WWO	ChIP-seq	human	y2016	paired-end	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	0.0					3.91	84.65	11.44	97.59	3.91	84.65	11.44	8.77	67.73	21.33	10.94	97.59	3.8714251902081003	0.243462323522688	1.7942576472658798	0.6437034594509301	1.76431795147746	17.153220439102	32.06672910846461	0.8433688631209709	41.61951501738729	1.6891	1.7927	2.0068	2.2534	2.9688	2.9193	2.3621	2.0615	1.8824	1.7498	0
ENCFF379LAP	ChIP-seq	human	y2016	paired-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	0.0	2.0	0.0					5.38	82.6	12.01	96.36	5.38	82.6	12.01	9.67	74.95	16.72	8.32	96.36	6.25048073614367	0.289150139464085	1.76708485650785	0.713007606763907	1.81819469915026	16.9198881048673	31.129942473594898	0.897509078322545	40.214742305185496	1.706	1.8418	2.0217	2.2945	4.4089	4.6013	2.4411	2.1009	1.9266	1.7661	0
ENCFF610TGH	ChIP-seq	human	y2016	paired-end	2.0	2.0	0.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	0.0					4.39	83.72	11.89	97.18	4.39	83.72	11.89	9.29	70.7	19.19	10.11	97.18	4.07554824259026	0.259630695252599	1.8778796077554198	0.692791111683075	1.8415190540536397	17.6976824232471	31.9259960595782	0.8872587921555171	40.7416940136842	1.6869999999999998	1.8249	2.0321	2.299	3.5561	3.6752	2.4301	2.0999	1.9434	1.7918	0
ENCFF911IYJ	ChIP-seq	human	y2017	paired-end	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					2.96	84.3	12.74	98.07	2.96	84.3	12.74	6.46	69.73	19.65	10.61	98.07	2.68346388040664	0.172257552792348	1.59169207978542	0.551183803955364	1.66727550511727	15.291869080223401	31.827282286433896	0.720313070786047	45.4946627404996	1.4879	1.5791	1.6927	1.8328	2.0222	1.9875	1.8355	1.7244	1.6185	1.5575	0
ENCFF746XJG	ChIP-seq	human	y2015	paired-end	2.0	2.0	0.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					3.63	79.23	17.14	98.13	3.63	79.23	17.14	12.54	58.93	25.49	15.57	98.13	3.9238090374635397	0.232883736863719	1.72529719539467	0.6834377001427729	1.85062247727016	16.548363004998098	31.3523853294948	0.8816388887115749	42.8015626296606	1.5862	1.7092	1.8744	2.0768	5.0572	6.0003	2.323	1.943	1.7848	1.6815	0
ENCFF218PFQ	ChIP-seq	human	y2016	paired-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0					3.57	83.7	12.72	98.11	3.57	83.7	12.72	19.41	65.54	19.56	14.9	98.11	6.10259613317705	0.35599998377670294	1.8358688995331698	0.856488710612876	2.01615029262773	17.816323881910602	31.088400747894003	0.9884043981359429	38.9397669523319	1.743	1.8921	2.1002	2.4803	4.2604	4.7906	2.7938	2.2718	2.0467	1.8756	0
ENCFF119HJY	ChIP-seq	human	y2016	paired-end	2.0	2.0	1.0	2.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					3.08	84.22	12.7	97.94	3.08	84.22	12.7	6.94	71.77	15.13	13.1	97.94	3.8557884071024198	0.33986184379825	1.6403033324755503	0.742046770458055	1.8393351132269697	24.210004664179102	32.663628248842	0.614887577200206	34.0941440427174	1.5287	1.6535	1.838	2.0588	2.2027	2.7293	2.9497	2.5795	2.277	2.0927	0
ENCFF593NHM	ChIP-seq	human	y2016	paired-end	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0					9.24	78.65	12.11	92.66	9.24	78.65	12.11	6.41	84.85	10.06	5.09	92.66	8.17802290788421	0.34570821248158595	1.7636114325328702	0.8354700092263622	1.8395632515534397	17.2614526677439	30.238611050225	0.92834532080723	38.60921514754529	1.7292	1.8769	2.095	2.4	5.8925	6.3395	2.6852	2.1861	1.9529	1.8449	0
ENCFF679GQT	ChIP-seq	human	y2016	paired-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					3.53	83.34	13.13	98.33	3.53	83.34	13.13	21.22	60.0	21.64	18.36	98.33	3.10574084132653	0.18317852674295199	1.46431558898825	0.5885786013899721	1.5040666442118702	15.5008885827484	30.9538331446928	0.7576975946059941	45.94170047529321	1.4421	1.515	1.6547	1.8158	2.3666	2.4684	1.8933	1.7147	1.5889	1.5085	0
ENCFF095HAZ	ChIP-seq	human	y2016	paired-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					4.98	84.49	10.53	96.22	4.98	84.49	10.53	7.95	82.42	10.74	6.84	96.22	6.630218837860809	0.342314520955825	2.06756763553512	0.9031148307791351	2.11394054007836	16.8697786473396	31.6032853341917	1.00481332642602	38.4649663268334	1.7578	1.8996	2.0844	2.4315	4.348	4.0633	2.5768	2.0948	1.941	1.7705	0
ENCFF959OBE	ChIP-seq	human	y2016	paired-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0					2.72	84.14	13.14	98.47	2.72	84.14	13.14	12.13	64.26	22.29	13.45	98.47	4.96765125802909	0.310402421785562	1.81159017584418	0.783988408409561	1.8627176580783897	17.301297486164803	30.9873969745868	0.913524835730229	41.0614307813714	1.7032	1.8235	2.045	2.3311	3.5393	3.8489	2.5696	2.1297	1.9039	1.8113	0
ENCFF889CFT	ChIP-seq	human	y2017	paired-end	2.0	2.0	2.0	2.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0					12.41	74.17	13.43	97.89	12.41	74.17	13.43	55.51	38.31	24.94	36.76	97.89	2.8349408767019	0.185431241569006	1.55272080597269	0.608145606565745	1.7925357595693099	15.4319099721701	30.9782586679738	0.788209368176718	45.82784770130079	1.527	1.6295	1.7708	1.8801	2.2430000000000003	2.3214	1.9208	1.8019	1.6892	1.6075	0
ENCFF616WSS	ChIP-seq	human	y2014	paired-end	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	0.0					3.76	82.77	13.47	96.9	3.76	82.77	13.47	2.97	85.06	9.27	5.68	96.9	8.85639884709357	0.32532406171779804	1.6514549930596798	0.79337027277964	1.9081487649124	15.798362971794601	29.0838886787845	0.8868352471154151	40.6962161627424	1.5215	1.6166	1.7887	1.9913	5.7877	5.7296	2.3098	1.9081	1.7782	1.6956	0
ENCFF590TAH	ChIP-seq	human	y2016	paired-end	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0					2.64	84.13	13.24	98.77	2.64	84.13	13.24	23.2	60.56	21.52	17.92	98.77	4.40090102480875	0.27558481542948904	1.8331229515796	0.709694574595868	1.85900041668832	17.6090037277813	32.2749042584731	0.924049639905904	40.113738590737704	1.7624	1.9031	2.081	2.3680000000000003	3.6089	3.8217	2.503	2.1812	1.9979	1.8511	0
ENCFF406XFM	ChIP-seq	human	y2016	paired-end	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0					16.4	70.0	13.6	98.22	16.4	70.0	13.6	61.22	28.03	30.59	41.39	98.22	3.43139574127169	0.213115150521118	1.69850777339351	0.643761256359548	1.75275908946105	16.256049389725302	31.5000383754464	0.8023096761848292	43.7020635476365	1.5425	1.648	1.7651	1.987	4.4304	5.1168	2.161	1.8495	1.6998	1.5925	0
ENCFF887CDX	ChIP-seq	human	y2015	paired-end	2.0	2.0	2.0	2.0	1.0	0.0	2.0	2.0	2.0	1.0	2.0	0.0					2.9	86.0	11.1	98.27	2.9	86.0	11.1	13.48	69.02	20.55	10.43	98.27	22.468457153605105	0.499750731373364	1.5839934148588402	0.9359961087802221	1.6581167022114598	14.437355709869498	25.0565025740904	0.8427605413325809	32.5170670638785	1.4764	1.5411	1.7761	2.2015	14.0087	15.626	2.635	1.9496	1.7486	1.6939	0
ENCFF228EWB	ChIP-seq	human	y2015	paired-end	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					1.55	84.46	13.99	99.03	1.55	84.46	13.99	5.37	66.33	21.07	12.6	99.03	5.168413546223059	0.303223617513627	1.86546013803023	0.811440622009667	1.96003340031003	16.8788385468833	30.6104495836135	0.963509551797908	41.4386309936186	1.6792	1.7941	1.9801	2.2905	3.8727	4.083	2.4511	2.068	1.9142	1.7576	0
ENCFF863XGE	ChIP-seq	human	y2016	paired-end	2.0	2.0	2.0	2.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					2.48	82.99	14.53	98.6	2.48	82.99	14.53	12.37	64.36	19.26	16.38	98.6	2.8540485443078305	0.17119841927129903	1.49477556625419	0.5703243264560711	1.59579577939774	15.476417999193098	30.603562909099	0.765387380664185	46.4684890753566	1.4498	1.5632	1.6557	1.7923	2.258	2.411	1.8523	1.7037	1.6131	1.5342	0
ENCFF163AGA	ChIP-seq	human	y2014	paired-end	2.0	2.0	0.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	0.0					2.17	84.94	12.9	98.81	2.17	84.94	12.9	10.19	61.04	25.15	13.81	98.81	6.23719416656623	0.329402295704185	2.08601025896638	0.887905164823716	1.99479901863651	18.097923897344998	31.1467489780868	1.0819716336106802	38.1380445862605	1.8308	1.9677	2.2204	2.5907	5.0737	5.15	2.7968	2.3431	2.116	1.9241	0
ENCFF996TKV	ChIP-seq	human	y2017	paired-end	2.0	2.0	0.0	2.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0					19.84	68.94	11.22	98.0	19.84	68.94	11.22	64.28	28.25	27.66	44.09	98.0	2.2354641795402004	0.14586580547926098	1.42936367557586	0.49436790305782796	1.50502398603567	14.9034649189707	31.232050879285897	0.6823570055487591	47.3720416465057	1.4524	1.5424	1.611	1.7180000000000002	1.8215	1.77	1.7235	1.636	1.5861	1.4869	0
ENCFF017YSG	ChIP-seq	human	y2016	paired-end	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					3.26	83.44	13.31	97.8	3.26	83.44	13.31	7.66	73.22	15.55	11.23	97.8	3.1702070585139	0.201136771992691	1.58702683004601	0.5855944770899449	1.70110893474443	15.907519599953401	31.2602175354419	0.7756975761348741	44.81149121608279	1.574	1.6372	1.7976	1.9525	2.5453	2.6444	2.0326	1.8267	1.7031	1.62	0
